D,[t] troubleshooting ad-500 and ad-600 no picture scrolling b/w" 
D,customer service[-][u],"i tried e-mailing apex and they come back saying undeliverable" 
D,customer service[-][u],"i 've tried leaving questions on their site never to have them answered" 
D,player[-][p],"it has never worked" 
D,player[-],"i 've attempted to connect this unit to several different tvs  using a multitude of connection methods  and i still can 't get a video signal from the machine" 
D,player[-][u],"purchased the ad-600 about a month ago and have had numerous problems with it" 
D,on/off button[-],"the most recent is that it will stop responding to the on/off button" 
D,customer service[-][u],"they claim to respond in a 24 hour period yet it 's been 2 weeks without a reply" 
D,customer service[-],"i 've sent 10 e-mails to their customer service department requesting an ra with no response" 
D,player[-],"3/4 way through the first disk we played on it ( naturally on 31 days after purchase ) the dvd player froze" 
D,player[-],"now it will not load any disk or just says that there is no disk" 
D,customer service[-][u],"have tried to contact apex via e-mail ( customerservice@apexdigital.com )  but the e-mail address is not valid" 
D,customer service[-][u],"have tried calling ( 866-apexgo )  but can 't get through" 
D,player[-][u]customer service[-],"this product sucks  the customer service from apex sucks" 
D,play[-],"after using it for just a month  i could not play any dvd" 
D,picture[-],"i can only hear the sound but no picture ! 
D,customer service[-],"their customer ( www.apexdigitalinc.com ) service is very poor" 
D,dvd[-],"one of the dvd 's i received as a christmas present kept freezing" 
D,dvd[-],"some dvd 's i rented would not play" 
D,player[-],"when the player was working it was great but" 
D,smell[+],"it does n't smell like burning plastic when you open the drive" 
D,look[+],"without a doubt the finest looking apex dvd player that i 've seen" 
D,picture quality[+],"excellent picture quality - on par with my pioneer  panasonic  and jvc players" 
D,remote[+],"remote , you can stand it on end ( harder to lose )  and it 's far better designed than the 1100s" 
D,dvd[-],"first of all  i bought this dvd as a christmas present for my girlfriend and i am somewhat disappointed" 
D,player[+],"unlike some of the other people who received a " lemon "  my dvd player came in perfect working condition" 
D,design[+]player[+],"as a whole  the dvd player has a sleek design and works fine" 
D,dvd[-],"what disappointed me is the fact that it does not seem to read certain dvds" 
D,read[-],"for example  i tried playing my new " pirates of the carribean " extra features dvd  but this dvd player can not read it" 
D,read[-] dvd[-],"at first i thought it is only a isolated incident  but i was proven wrong when the player would not read my " alias " dvds as well" 
D,player[+],"this player seems to work fine with everything else" 
D,player[-][u],"because of this  i am disappointed and would not recommend this product" 
D,run[+] dvd[+],"it 's running great for all the dvds i have and rented" 
D,run[+] dvd media[+]#apex ad-600 runs all the dvd media including dvd + r/rw and dvd-r / rw ( unlike sony or panasonic - one supports only + r/rw and another supports - r/rw )" 
D,dvd player[+],"i think  apex is the best dvd player you can get for the price" 
D,apex[+],"most of them are already switched to apex and they are happy" 
D,player[+][p],"this has so many capabilities that you 'll always have room for new technologies as they evolve" 
D,sound[+]picture clarity[+],"i use this with a home theater system and it 's amazing how it sounds  the picture clarity is unmatched ! 
D,case[+]price[+][u],"so much packed in a small case and very affordable ! 
D,picture[-][u],"after two weeks the picture kept freezing" 
D,apex[-],"apex sucks ! 
D,[t] video failed after 3 weeks" 
D,player[-][u],"unit worked great for 3 weeks then video output failed" 
D,size[+]machine[+],"it 's a compact  attractive machine and was easy to set up" 
D,usage[+],"basic usage is easy  but the remote has a lot of buttons that i have n't used" 
D,player[+][p],"so far  we 've only used this player a few times to watch movies and it has worked fine" 
D,picture[+]sound[+],"the picture is clear  bright and sharp and the sound is good" 
D,read[-] disc[-],"the catch is that  while it plays movies just fine  it has refused to read second discs with the movie " extras " on them on the two occaisions when i tried to do that" 
D,player[+][p],"it works well enough ( so far ) for me to be satisfied with it  and it 's possible that i 'm missing something" 
D,player[+],"i 'm giving this player cautious recommendation" 
D,player[+][p],"there are a lot of things i like about it" 
D,[t] apex ad-600 working so far" 
D,picture[+],"received apex dvd and the picture was great when set up with s connector" 
D,remote[-],"the remote is a little hard to understand" 
D,jpeg picture[-],"my jpeg pictures are viewable ( not so sharp and vivid ) on my 27 " screen but seem not as clear as when i view them on my 17 " monitor" 
D,dvd[+],"so far the dvd works so i hope it does n't break down like the reviews i 've read" 
D,video output[-],"video output stopped workin" 
D,video output[-],"this was an awesome player  before the video output no longer worked ( after about 3 weeks )" 
D,player[-][u],"what a disappointment ! 
D,[t] quit in 10 days" 
D,set up[+]player[-],"set up was easy and we enjoyed it for just over a week" 
D,lip-sync[-],"there was occasionally a lip-sync issue ( the lips were n't moving in time to the dialogue )" 
D,video[-],"but after 10 days  the sound worked  but the video quit working" 
D,amazon[+],"amazon was wonderful about picking it up the next day and paying for the return shipping" 
D,feature[+]reliability[-],"great feature list  poor reliability" 
D,output[-],"output went black and white only via both s-video and composite connections  and with no v-hold" 
D,display[+],"retraction , said mine had silver plate , it does have display" 
D,player[+][p],"it works great" 
D,unit[+] format[+],"the unit seems to play all formats that i have put in it ( jpeg  kodak pic 's and dvd-r ) i have read other reviews and some good and soom not so good  but my feeling at this time is " two thumbs up " ! 
D,remote[-],"p.s the remote control does seem to get confused at times and doesnt respond but it may be just operator error ? 
D,[t] does n't play my alias season 1 dvds" 
D,player[-][u],"what the hell is wrong with this thing" 
D,play[-] dvd[-],"forget about the sleek looks if it can 't play some of your real dvds. 
D,video output[-],"well  within 45 days the video output quit working ( both rca & optic )" 
D,video output[-[p][u],"so now it still plays everything  you just can 't see it ! 
D,player[-][p],"the first one we installed did n't work  and our kids were devastated to say the least" 
D,player[+][p],"it seems to be working fine  but we 've not used it all that much" 
D,player[-],"update , january 27th 2004 - the second one crapped out only after a week - dont buy this product ! 
D,look[+]feature[+],"the player looked good right out of the box  offering lots of features and good styling" 
D,dvd[-],"i immediately had problems getting the player to recognize two of my favorite dvds" 
D,video[-],"after multilple tries  one of the disks was finally recognized but video was poor and features not available" 
D,disk[-],"only one disk played through to completion successfully" 
D,player[-][p] motor[-] disc[-],"when we tried to hook up the first one  it was broken - the motor would not eject discs or close the door" 
D,player[-],"when i tried to install the second dvd player in my brothers house  that one didn " t work either ! 
D,apex[-],"imagine my shock - and absolute instant disdain for any products made by apex" 
D,power supply[-],"the 2nd dvd player had a faulty power supply which caused to occasionally not turn on" 
D,ad-600[-] ad-220[-],"the ad-600 did n't work corectly from the start and the ad-220 lasted about a week and a half before it started to act up" 
D,amazon[+],"amazon is awaesome ! 
D,dvd player[+],"for the price  it 's a very nice dvd player" 
D,door[-],"the front door is miss aligned on my unit and you have to manually life it up just so slightly for the door to close  a very annoying thing after ahwile" 
D,format[+],"it does play a wide range of formats as advertised which is very nice" 
D,dvd[+],"and so far have not had any problems with dvds not being able to play" 
D,feature[+],"i only wanted something to play dvds on but this machine has all these other features that i probably will never use but it 's nice to know that there 're there" 
D,size[+]weight[+],"the machine is very light and slim and fits nicely into my tv stand" 
D,player[+][u],"i 've had no problems at all so far and i 'm very happy" 
D,dvd[-],"we tried the " finding nemo " dvd and when we got to ~ chapter 28  the frames started to freeze for no reason" 
D,player[-],"i can 't rate it one star only because when it does work it 's pretty good" 
D,player[-],"only owned it about two weeks so i expect we 're looking at getting another progressive scan dvd player of higher quality very soon" 
D,player[-] no disc[-],"the player kept displaying " no disc "  so i tried the disc in another machine and sure as @ # , ! 
D,player[+],"besides the one problem  this machine is amazing ! 
D,play[+][u],"it plays everything  even vcd 's" 
D,player[+][p],"i will never use all the " whistles and bells " this machine is capable of" 
D,player[+][p],"but for what i do use it is perfect" 
D,freeze[-] player[-],"1 ) frame freezes and the family yells  " dad ! somethings wrong with the dvd player ! come quick ! " 
D,remote[-],"2 ) the remote works  but then it does not work  and you are left standing there thinking you are doing something wrong" 
D,universal remote control[-],"5 ) this apex model 2600 will not work with my universal remote control" 
D,code[-],"finally you will read a post somewhere that all codes are useless for the apex 2600" 
D,player[-],"one still works fine  the other quit after one day" 
D,manual[+],"owner 's manual has substandard troubleshooting guide" 
D,customer service[-][u],"apex 's website is down and they wo n't answer their phone" 
D,player[+],"the dvd player is fine" 
D,player[+][p],"of course  i was hesitant given the price  but i 've been extremely impressed since receiving it  and bought a second one as a christmas present for my parents" 
D,picture[+],"the picture is perfect  although i 'm not watching on an hdtv" 
D,loading[-][u],"it seems to be a little slow when identifying a new disc that 's inserted - maybe 10 seconds of wait" 
D,player[+],"but  dollar for dollar  this dvd player is probably the best out there" 
D,picture[-],"when i hooked it up it only produced sound - a cd played fine  but with a dvd i only got the audio - no picture ! 
D,dvd[-]cd[-] no disc[-],"seemed like a good deal  but this pos frequently cannot recognize dvds and music cds -- takes a long time loading and then concludes  " no disc "" 
D,dvd player[-],"granted  i have only used this dvd player for about 2 hours setting it up for my mom for christmas  but that was long enough for me to find problems with this dvd player" 
D,menu[-],"first  the player did not allow me to access the menus of dvds" 
D,menu[-][p],"this is extemely lame" 
D,remote[-],"the remote is flimsy-feeling and awkward to use" 
D,remote[-],"in addition  it only seems to work if you 're about five feet away from the player  although that may have been just the batteries that came with it" 
D,dvd[+],"the player does seem to play dvds adequately enough" 
D,player[-][u],"after less than 24 hours it turned out to be a huge disappointment  for myself and for my parents  for whom it was a gift" 
D,dvd[-],"it played only one out of three dvd 's without problems  the other two being afflicted by a number of glitches" 
D,dvd[-],"both of the problem dvd 's would repeatedly freeze during playback  while the counter on the player kept going" 
D,speed[-],"one also exhibited extremely slow speed when going to the menu" 
D,door[-],"the dvd door would scratch the top of the disc every time it closed" 
D,size[+]remote layout[+],"there were a few attractive features  such as the small size and the layout of the remote" 
D,player[-],"all in all  trying to save some money on this player resulted in me shelling a great deal more when i purchased a much nicer dvd vcr combo player to make up for blazing crappiness of this very embarassing gift" 
D,player[-],"i was impressed by this very inexpensive player.for the first three hours  and then it died" 
D,player[+],"i looked into buying an inexpensive dvd player that had more than the standard set of features and this item seemed to be the best in that category" 
D,player[+][p],"i just hooked it up and everything seemed to be going fine" 
D,noise[-] external display[-],"there are a couple of quirks that were a bit annoying like having to actually press the power button before the tray will open ( my prev. machine did it automatically )  and the fact that the external display is too small and too faded to read from any significant distance" 
D,look[+]feature[+],"still  i was willing to overlook those things as this unit looks sleek and has a myriad of features ! 
D,freeze[-],"i get to chapter 34 and everything freezes ! 
D,player[-][p],"i try navigating to a chapter past 34 via the menu and it would n't do it ! 
D,player[-][p],"i try navigating using the player 's built in menu  and it still would n't work ! 
D,[t] more trouble than it 's worth times 10" 
D,dvd[-] read[-],"unfortunately  the player would not read any of my region one dvds. even though they were not damaged in any way" 
D,support[-],"i called apex 's support number numerous times but it just kept ringing" 
D,dvd player[+],"this is probably one of the few dvd players at $ 40 that can play almost everything you throw at it" 
D,format[+],"ability to play most discs - i tried dvd  vcd  dvd-r  audio cd and it played all 
D,look[+],"good looks 
D,quality[-],"the build quality shows why its so cheap - small scratches on the base plate  something that you would n't see on a sony and an overall plasticky feel 
D,remote button[-],"remote buttons are small and closely spaced  especially with the menu buttons" 
D,player[+],"this is wonderful to have for your first dvd player" 
D,player[+],"i brought it for my sister in college and she loves it ! 
D,apex[+],"apex is the best cheap quality brand for dvd players" 
D,weight[+],"also  very light and portable" 
D,[t] apex 2600" 
D,dvd disc[-] read[-],"the one i purchased for a frend as a gift will not read any dvd disc" 
D,read[+] cd audio disc[+],"it will read and play all cd audio disc" 
D,amazon[+],"i have shopped with amazon before and have been very happy with their performance thus far" 
D,quality[-],"however  it has failed to deliver on quality" 
D,jpeg[-]dvd[-],"it does not only have difficulty playing jpegs  it even has trouble properly playing dvd movies" 
D,no disc[-],"on several different occasions it has displayed " no disc " with a disc inside" 
D,apex[-],"i read in consumer reports that apex is a reliable brand  but with my experience and reading the other reviews  i think i will be doing a little more homework before considering another apex product" 
D,[t] the ad2600 had false silver plate instead of play display" 
D,silver plate[-],"the 2600 had false silver plate instead of play display" 
D,play[+] cd[+] mp3[+] jpeg[+],"it plays original dvds and cds and plays mp3s and jpegs" 
D,play[-] windows media[-] divx rip[-],"however  it does not play windows media and i can not get it to play any of my divx rips" 
D,player[+],"also  it was only $ 39.99 ( after rebate ) with free shipping and no tax so overall it is a decent player" 
D,video quality[+],"good quality video" 
D,[t] apex ad-600 compatability" 
D,read[-] dvd[-] vcd[-],"can 't say whether i rec 'd an " updated " model but it will not read dvd + rw 's or vcd 's for me" 
D,play[+] dvd-r[+],"it did play a dvd-r which was unplayable in my older philips machine" 
D,price[+],"mixed bag i guess but the price was right" 
D,price[+],"this is the third apex product i 've bought and they continue to impress for the price" 
D,build quality[+]picture[+]sound[+],"the build quality feels solid  it does n't shake or whine while playing discs  and the picture and sound is top notch ( both dts and dd5.1 sound good )" 
D,look[+][u] player[+][p],"it looks really sleek and stylish  and does everything it claims" 
D,format[+],"i tried as bunch of different formats to see if it would play and it did" 
D,product[+],"i am very pleased with this product and the price to match and have n't had any problems" 
D,direction[+],"there are really easy directions for setup and fiddling around with the picture  zoom etc" 
D,dvd player[+],"so sit back  relax and brag to all your friends who paid a mountain of money for a dvd player that can 't do half the things this one can  and for a fraction of the price ! 
D,sound[+]weight[+],"noiseless  lightweight and oh yeah" 
D,work[+] player[+][u],"works great ! 
D,color[+],"silverish color really adds a special touch" 
D,format[+],"it plays just about any format ( check before you buy if it plays yours" ) 
D,price[+],"either way  can 't go wrong with this price" 
D,dvd player[+],"i am really impressed by this dvd player" 
D,play[+] dvd[+],"for instance  i made several back-ups of my dvd movies using dvd-r ( w ) and + r ( w ) and it plays the dvds" 
D,format[+],"no matter the format" 
A,canon powershot g3[+],"i recently purchased the canon powershot g3 and am extremely satisfied with the purchase" 
A,use[+],"the camera is very easy to use  in fact on a recent trip this past week i was asked to take a picture of a vacationing elderly group" 
A,picture[+],"they fired away and the picture turned out quite nicely" ( as all of my pictures have thusfar )" 
A,picture quality[+],"a few of my work constituants owned the g2 and highly recommended the canon for picture quality" 
